"id","name","unit_name","nutrient_nbr","rank"
"1002","Nitrogen","G","202","500"
"1003","Protein","G","203","600"
"1004","Total lipid (fat)","G","204","800"
"1005","Carbohydrate, by difference","G","205","1110"
"1007","Ash","G","207","1000"
"1008","Energy","KCAL","208","300"
"1009","Starch","G","209","2200"
"1010","Sucrose","G","210","1600"
"1011","Glucose (dextrose)","G","211","1700"
"1012","Fructose","G","212","1800"
"1013","Lactose","G","213","1900"
"1014","Maltose","G","214","2000"
"1018","Alcohol, ethyl","G","221","18200"
"1024","Specific Gravity","SP_GR","227","999999"
"1026","Acetic acid","MG","230","2900"
"1038","Lactic acid","MG","242","4100"
"1050","Carbohydrate, by summation","G","205.2","1120"
"1051","Water","G","255","100"
"1056","Sorbitol","G","261","2600"
"1057","Caffeine","MG","262","18300"
"1058","Theobromine","MG","263","18400"
"1062","Energy","kJ","268","400"
"1063","Sugars, Total NLEA","G","269.3","1500"
"1072","Carbohydrate, other","G","284",""
"1075","Galactose","G","287","2100"
"1078","Xylitol","G","290","2700"
"1079","Fiber, total dietary","G","291","1200"
"1081","Ribose","G","294","999999"
"1082","Fiber, soluble","G","295","1240"
"1084","Fiber, insoluble","G","297","1260"
"1085","Total fat (NLEA)","G","298","900"
"1086","Total sugar alcohols","G","299","999999"
"1087","Calcium, Ca","MG","301","5300"
"1088","Chlorine, Cl","MG","302","999999"
"1089","Iron, Fe","MG","303","5400"
"1090","Magnesium, Mg","MG","304","5500"
"1091","Phosphorus, P","MG","305","5600"
"1092","Potassium, K","MG","306","5700"
"1093","Sodium, Na","MG","307","5800"
"1094","Sulfur, S","MG","308","6241"
"1095","Zinc, Zn","MG","309","5900"
"1096","Chromium, Cr","UG","310","999999"
"1097","Cobalt, Co","UG","311","6244"
"1098","Copper, Cu","MG","312","6000"
"1099","Fluoride, F","UG","313","6240"
"1100","Iodine, I","UG","314","6150"
"1101","Manganese, Mn","MG","315","6100"
"1102","Molybdenum, Mo","UG","316","6243"
"1103","Selenium, Se","UG","317","6200"
"1104","Vitamin A, IU","IU","318","7500"
"1105","Retinol","UG","319","7430"
"1106","Vitamin A, RAE","UG","320","7420"
"1107","Carotene, beta","UG","321","7440"
"1108","Carotene, alpha","UG","322","7450"
"1109","Vitamin E (alpha-tocopherol)","MG","323","7905"
"1110","Vitamin D (D2 + D3), International Units","IU","324","8650"
"1111","Vitamin D2 (ergocalciferol)","UG","325","8710"
"1112","Vitamin D3 (cholecalciferol)","UG","326","8720"
"1113","25-hydroxycholecalciferol","UG","327","8730"
"1114","Vitamin D (D2 + D3)","UG","328","8700"
"1116","Phytoene","UG","330","7570"
"1117","Phytofluene","UG","331","7580"
"1119","Zeaxanthin","UG","338.2","7564"
"1120","Cryptoxanthin, beta","UG","334","7460"
"1121","Lutein","UG","338.1","7562"
"1122","Lycopene","UG","337","7530"
"1123","Lutein + zeaxanthin","UG","338","7560"
"1124","Vitamin E (label entry primarily)","IU","340","999999"
"1125","Tocopherol, beta","MG","341","8000"
"1126","Tocopherol, gamma","MG","342","8100"
"1127","Tocopherol, delta","MG","343","8200"
"1128","Tocotrienol, alpha","MG","344","8300"
"1129","Tocotrienol, beta","MG","345","8400"
"1130","Tocotrienol, gamma","MG","346","8500"
"1131","Tocotrienol, delta","MG","347","8600"
"1137","Boron, B","UG","354","6245"
"1146","Nickel, Ni","UG","371","6242"
"1158","Vitamin E","MG_ATE","394","7800"
"1159","cis-beta-Carotene","UG","321.1","7442"
"1160","cis-Lycopene","UG","337.1","7532"
"1161","cis-Lutein/Zeaxanthin","UG","338.3","7561"
"1162","Vitamin C, total ascorbic acid","MG","401","6300"
"1165","Thiamin","MG","404","6400"
"1166","Riboflavin","MG","405","6500"
"1167","Niacin","MG","406","6600"
"1170","Pantothenic acid","MG","410","6700"
"1175","Vitamin B-6","MG","415","6800"
"1176","Biotin","UG","416","999999"
"1177","Folate, total","UG","417","6900"
"1178","Vitamin B-12","UG","418","7300"
"1180","Choline, total","MG","421","7220"
"1181","Inositol","MG","422","2800"
"1183","Vitamin K (Menaquinone-4)","UG","428","8950"
"1184","Vitamin K (Dihydrophylloquinone)","UG","429","8900"
"1185","Vitamin K (phylloquinone)","UG","430","8800"
"1186","Folic acid","UG","431","7000"
"1187","Folate, food","UG","432","7100"
"1188","5-methyl tetrahydrofolate (5-MTHF)","UG","433","999999"
"1190","Folate, DFE","UG","435","7200"
"1191","10-Formyl folic acid (10HCOFA)","UG","436","999999"
"1192","5-Formyltetrahydrofolic acid (5-HCOH4","UG","437","999999"
